sr_type,service_label,committed_days,stable_commitment,year_month,year,month_number,intake,duplicates,evaluable,on_time,open_overdue,median_days_to_close
PLCJUNKV,"VEHICLE, ABANDONED IN STREET",1,False,2023-01,2023,1,230.0,14.0,216.0,8.0,0.0,17.0
PLCJUNKV,"VEHICLE, ABANDONED IN STREET",1,False,2023-02,2023,2,390.0,31.0,358.0,22.0,0.0,12.5
PLCJUNKV,"VEHICLE, ABANDONED IN STREET",1,False,2023-03,2023,3,445.0,37.0,408.0,45.0,0.0,9.0
PLCJUNKV,"VEHICLE, ABANDONED IN STREET",1,False,2023-04,2023,4,415.0,33.0,382.0,57.0,0.0,8.0
PLCJUNKV,"VEHICLE, ABANDONED IN STREET",1,False,2023-05,2023,5,426.0,26.0,400.0,46.0,0.0,12.0
PLCJUNKV,"VEHICLE, ABANDONED IN STREET",1,False,2023-06,2023,6,418.0,27.0,391.0,49.0,0.0,9.0
PLCJUNKV,"VEHICLE, ABANDONED IN STREET",1,False,2023-07,2023,7,419.0,22.0,397.0,38.0,0.0,11.0
PLCJUNKV,"VEHICLE, ABANDONED IN STREET",1,False,2023-08,2023,8,474.0,34.0,438.0,123.0,0.0,8.0
PLCJUNKV,"VEHICLE, ABANDONED IN STREET",1,False,2023-09,2023,9,376.0,19.0,357.0,113.0,0.0,10.0
PLCJUNKV,"VEHICLE, ABANDONED IN STREET",1,False,2023-10,2023,10,393.0,31.0,361.0,128.0,0.0,9.0
PLCJUNKV,"VEHICLE, ABANDONED IN STREET",1,False,2023-11,2023,11,340.0,12.0,328.0,121.0,0.0,9.0
PLCJUNKV,"VEHICLE, ABANDONED IN STREET",1,False,2023-12,2023,12,367.0,15.0,352.0,125.0,0.0,8.0
PLCJUNKV,"VEHICLE, ABANDONED IN STREET",1,False,2024-01,2024,1,415.0,22.0,393.0,118.0,0.0,10.0
PLCJUNKV,"VEHICLE, ABANDONED IN STREET",1,False,2024-02,2024,2,467.0,30.0,437.0,145.0,0.0,8.0
PLCJUNKV,"VEHICLE, ABANDONED IN STREET",1,False,2024-03,2024,3,458.0,43.0,415.0,187.0,0.0,7.0
PLCJUNKV,"VEHICLE, ABANDONED IN STREET",1,False,2024-04,2024,4,425.0,24.0,401.0,274.0,0.0,7.0
PLCJUNKV,"VEHICLE, ABANDONED IN STREET",1,False,2024-05,2024,5,424.0,36.0,388.0,267.0,0.0,7.0
PLCJUNKV,"VEHICLE, ABANDONED IN STREET",1,False,2024-06,2024,6,389.0,31.0,358.0,238.0,0.0,7.0
PLCJUNKV,"VEHICLE, ABANDONED IN STREET",1,False,2024-07,2024,7,414.0,36.0,378.0,231.0,0.0,7.0
PLCJUNKV,"VEHICLE, ABANDONED IN STREET",1,False,2024-08,2024,8,494.0,16.0,478.0,302.0,0.0,7.0
PLCJUNKV,"VEHICLE, ABANDONED IN STREET",1,False,2024-09,2024,9,408.0,12.0,395.0,317.0,0.0,5.0
PLCJUNKV,"VEHICLE, ROW JUNK/ABAN",7,False,2024-10,2024,10,270.0,5.0,265.0,191.0,1.0,4.0
PLCJUNKV,"VEHICLE, ROW JUNK/ABAN",7,False,2024-11,2024,11,189.0,6.0,183.0,122.0,0.0,6.0
PLCJUNKV,"VEHICLE, ROW JUNK/ABAN",7,False,2024-12,2024,12,206.0,11.0,195.0,103.0,0.0,7.0
PLCJUNKV,"VEHICLE, ROW JUNK/ABAN",7,False,2025-01,2025,1,219.0,15.0,204.0,107.0,0.0,7.0
PLCJUNKV,"VEHICLE, ROW JUNK/ABAN",7,False,2025-02,2025,2,242.0,16.0,226.0,125.0,1.0,6.0
PLCJUNKV,"VEHICLE, ROW JUNK/ABAN",7,False,2025-03,2025,3,281.0,11.0,270.0,147.0,0.0,7.0
PLCJUNKV,"VEHICLE, ROW JUNK/ABAN",7,False,2025-04,2025,4,259.0,13.0,246.0,173.0,0.0,5.0
PLCJUNKV,"VEHICLE, ROW JUNK/ABAN",7,False,2025-05,2025,5,198.0,7.0,191.0,102.0,0.0,7.0
PLCJUNKV,"VEHICLE, ROW JUNK/ABAN",7,False,2025-06,2025,6,137.0,0.0,137.0,82.0,1.0,7.0
PLCJUNKV,"VEHICLE, ROW JUNK/ABAN",7,False,2025-07,2025,7,146.0,3.0,143.0,86.0,1.0,6.0
PLCJUNKV,"VEHICLE, ROW JUNK/ABAN",7,False,2025-08,2025,8,144.0,4.0,140.0,67.0,3.0,8.0
PLCJUNKV,"VEHICLE, ROW JUNK/ABAN",7,False,2025-09,2025,9,141.0,3.0,138.0,74.0,0.0,7.0
PLCJUNKV,"VEHICLE, ROW JUNK/ABAN",7,False,2025-10,2025,10,111.0,3.0,108.0,64.0,2.0,7.0
PLCJUNKV,"VEHICLE, ROW JUNK/ABAN",7,False,2025-11,2025,11,93.0,1.0,92.0,71.0,4.0,6.0
PLCJUNKV,"VEHICLE, ROW JUNK/ABAN",7,False,2025-12,2025,12,128.0,5.0,123.0,106.0,4.0,8.0
PLCJUNKV,"VEHICLE, ROW JUNK/ABAN",7,False,2026-01,2026,1,124.0,1.0,122.0,109.0,0.0,6.0
PLCJUNKV,"VEHICLE, ROW JUNK/ABAN",7,False,2026-02,2026,2,134.0,5.0,129.0,119.0,2.0,6.0
PLCJUNKV,"VEHICLE, ROW JUNK/ABAN",7,False,2026-03,2026,3,164.0,6.0,156.0,131.0,4.0,7.0
PLCJUNKV,"VEHICLE, ROW JUNK/ABAN",7,False,2026-04,2026,4,160.0,8.0,152.0,128.0,9.0,7.0
PLCJUNKV,"VEHICLE, ROW JUNK/ABAN",7,False,2026-05,2026,5,157.0,8.0,149.0,113.0,11.0,6.0
PLCJUNKV,"VEHICLE, ROW JUNK/ABAN",7,False,2026-06,2026,6,156.0,7.0,149.0,116.0,16.0,7.0
PLCJUNKV,"VEHICLE, ROW JUNK/ABAN",7,False,2026-07,2026,7,163.0,2.0,159.0,133.0,11.0,8.0
PLCJUNKV,"VEHICLE, ROW JUNK/ABAN",7,False,2026-08,2026,8,138.0,3.0,121.0,97.0,16.0,8.0
PTHOLE,"POTHOLE, REPAIR",12,True,2023-01,2023,1,483.0,35.0,448.0,437.0,0.0,1.0
PTHOLE,"POTHOLE, REPAIR",12,True,2023-02,2023,2,787.0,49.0,738.0,738.0,0.0,1.0
PTHOLE,"POTHOLE, REPAIR",12,True,2023-03,2023,3,634.0,38.0,596.0,575.0,0.0,1.0
PTHOLE,"POTHOLE, REPAIR",12,True,2023-04,2023,4,698.0,74.0,624.0,560.0,0.0,3.0
PTHOLE,"POTHOLE, REPAIR",12,True,2023-05,2023,5,397.0,43.0,354.0,291.0,0.0,5.0
PTHOLE,"POTHOLE, REPAIR",12,True,2023-06,2023,6,188.0,35.0,153.0,122.0,0.0,7.0
PTHOLE,"POTHOLE, REPAIR",12,True,2023-07,2023,7,171.0,18.0,153.0,151.0,0.0,2.0
PTHOLE,"POTHOLE, REPAIR",12,True,2023-08,2023,8,121.0,4.0,117.0,114.0,0.0,2.0
PTHOLE,"POTHOLE, REPAIR",12,True,2023-09,2023,9,94.0,6.0,88.0,87.0,0.0,3.0
PTHOLE,"POTHOLE, REPAIR",12,True,2023-10,2023,10,83.0,3.0,79.0,69.0,0.0,5.0
PTHOLE,"POTHOLE, REPAIR",12,True,2023-11,2023,11,150.0,10.0,140.0,140.0,0.0,1.0
PTHOLE,"POTHOLE, REPAIR",12,True,2023-12,2023,12,281.0,3.0,278.0,278.0,0.0,0.0
PTHOLE,"POTHOLE, REPAIR",12,True,2024-01,2024,1,847.0,187.0,660.0,643.0,0.0,2.0
PTHOLE,"POTHOLE, REPAIR",12,True,2024-02,2024,2,743.0,69.0,667.0,667.0,0.0,1.0
PTHOLE,"POTHOLE, REPAIR",12,True,2024-03,2024,3,587.0,43.0,533.0,508.0,0.0,2.0
PTHOLE,"POTHOLE, REPAIR",12,True,2024-04,2024,4,713.0,141.0,572.0,477.0,0.0,5.0
PTHOLE,"POTHOLE, REPAIR",12,True,2024-05,2024,5,368.0,31.0,337.0,318.0,0.0,2.0
PTHOLE,"POTHOLE, REPAIR",12,True,2024-06,2024,6,176.0,10.0,166.0,156.0,0.0,3.0
PTHOLE,"POTHOLE, REPAIR",12,True,2024-07,2024,7,194.0,7.0,187.0,173.0,0.0,3.0
PTHOLE,"POTHOLE, REPAIR",12,True,2024-08,2024,8,152.0,7.0,145.0,131.0,0.0,3.0
PTHOLE,"POTHOLE, REPAIR",12,True,2024-09,2024,9,125.0,16.0,109.0,81.0,0.0,5.0
PTHOLE,"POTHOLE, REPAIR",12,True,2024-10,2024,10,152.0,14.0,138.0,127.0,0.0,2.0
PTHOLE,"POTHOLE, REPAIR",12,True,2024-11,2024,11,197.0,14.0,183.0,179.0,0.0,1.0
PTHOLE,"POTHOLE, REPAIR",12,True,2024-12,2024,12,432.0,1.0,431.0,429.0,0.0,1.0
PTHOLE,"POTHOLE, REPAIR",12,True,2025-01,2025,1,880.0,69.0,808.0,740.0,0.0,3.0
PTHOLE,"POTHOLE, REPAIR",12,True,2025-02,2025,2,3298.0,524.0,2766.0,2208.0,0.0,6.0
PTHOLE,"POTHOLE, REPAIR",12,True,2025-03,2025,3,1434.0,173.0,1253.0,1238.0,0.0,2.0
PTHOLE,"POTHOLE, REPAIR",12,True,2025-04,2025,4,1621.0,275.0,1344.0,1248.0,0.0,3.0
PTHOLE,"POTHOLE, REPAIR",12,True,2025-05,2025,5,750.0,128.0,622.0,591.0,0.0,3.0
PTHOLE,"POTHOLE, REPAIR",12,True,2025-06,2025,6,435.0,32.0,403.0,386.0,0.0,2.0
PTHOLE,"POTHOLE, REPAIR",12,True,2025-07,2025,7,372.0,34.0,338.0,328.0,0.0,4.0
PTHOLE,"POTHOLE, REPAIR",12,True,2025-08,2025,8,251.0,10.0,241.0,241.0,0.0,2.0
PTHOLE,"POTHOLE, REPAIR",12,True,2025-09,2025,9,215.0,3.0,212.0,212.0,0.0,1.0
PTHOLE,"POTHOLE, REPAIR",12,True,2025-10,2025,10,223.0,8.0,215.0,215.0,0.0,1.0
PTHOLE,"POTHOLE, REPAIR",12,True,2025-11,2025,11,233.0,8.0,225.0,213.0,0.0,2.0
PTHOLE,"POTHOLE, REPAIR",12,True,2025-12,2025,12,653.0,81.0,572.0,572.0,0.0,2.0
PTHOLE,"POTHOLE, REPAIR",12,True,2026-01,2026,1,797.0,71.0,726.0,682.0,0.0,1.0
PTHOLE,"POTHOLE, REPAIR",12,True,2026-02,2026,2,1405.0,130.0,1275.0,1270.0,0.0,1.0
PTHOLE,"POTHOLE, REPAIR",12,True,2026-03,2026,3,1808.0,173.0,1635.0,1609.0,0.0,2.0
PTHOLE,"POTHOLE, REPAIR",12,True,2026-04,2026,4,698.0,39.0,658.0,646.0,0.0,2.0
PTHOLE,"POTHOLE, REPAIR",12,True,2026-05,2026,5,721.0,44.0,677.0,638.0,0.0,3.0
PTHOLE,"POTHOLE, REPAIR",12,True,2026-06,2026,6,666.0,45.0,621.0,556.0,0.0,4.0
PTHOLE,"POTHOLE, REPAIR",12,True,2026-07,2026,7,445.0,22.0,423.0,402.0,0.0,3.0
PTHOLE,"POTHOLE, REPAIR",12,True,2026-08,2026,8,349.0,7.0,342.0,335.0,0.0,2.0
RCYCLNG,"RECYCLING, COLLECT GREEN CART",1,False,2023-01,2023,1,115.0,3.0,112.0,104.0,0.0,1.0
RCYCLNG,"RECYCLING, COLLECT GREEN CART",1,False,2023-02,2023,2,102.0,2.0,100.0,97.0,0.0,1.0
RCYCLNG,"RECYCLING, COLLECT GREEN CART",1,False,2023-03,2023,3,137.0,4.0,133.0,128.0,0.0,1.0
RCYCLNG,"RECYCLING, COLLECT GREEN CART",1,False,2023-04,2023,4,163.0,1.0,162.0,154.0,0.0,1.0
RCYCLNG,"RECYCLING, COLLECT GREEN CART",1,False,2023-05,2023,5,161.0,2.0,159.0,148.0,0.0,1.0
RCYCLNG,"RECYCLING, COLLECT GREEN CART",1,False,2023-06,2023,6,210.0,2.0,207.0,176.0,0.0,1.0
RCYCLNG,"RECYCLING, COLLECT GREEN CART",1,False,2023-07,2023,7,185.0,5.0,180.0,167.0,0.0,1.0
RCYCLNG,"RECYCLING, COLLECT GREEN CART",1,False,2023-08,2023,8,198.0,1.0,196.0,193.0,0.0,1.0
RCYCLNG,"RECYCLING, COLLECT GREEN CART",1,False,2023-09,2023,9,178.0,4.0,173.0,160.0,0.0,0.0
RCYCLNG,"RECYCLING, COLLECT GREEN CART",1,False,2023-10,2023,10,182.0,7.0,175.0,168.0,0.0,0.0
RCYCLNG,"RECYCLING, COLLECT GREEN CART",1,False,2023-11,2023,11,175.0,4.0,170.0,157.0,0.0,0.5
RCYCLNG,"RECYCLING, COLLECT GREEN CART",1,False,2023-12,2023,12,139.0,1.0,136.0,132.0,0.0,0.0
RCYCLNG,"RECYCLING, COLLECT GREEN CART",1,False,2024-01,2024,1,205.0,1.0,204.0,175.0,0.0,0.0
RCYCLNG,"RECYCLING, COLLECT GREEN CART",1,False,2024-02,2024,2,140.0,0.0,140.0,134.0,0.0,1.0
RCYCLNG,"RECYCLING, COLLECT GREEN CART",1,False,2024-03,2024,3,147.0,2.0,145.0,140.0,0.0,0.0
RCYCLNG,"RECYCLING, COLLECT GREEN CART",1,False,2024-04,2024,4,169.0,0.0,169.0,165.0,0.0,0.0
RCYCLNG,"RECYCLING, COLLECT GREEN CART",1,False,2024-05,2024,5,157.0,1.0,155.0,150.0,0.0,1.0
RCYCLNG,"RECYCLING, COLLECT GREEN CART",1,False,2024-06,2024,6,143.0,3.0,139.0,121.0,0.0,1.0
RCYCLNG,"RECYCLING, COLLECT GREEN CART",1,False,2024-07,2024,7,163.0,2.0,160.0,147.0,0.0,1.0
RCYCLNG,"RECYCLING, COLLECT GREEN CART",1,False,2024-08,2024,8,139.0,0.0,138.0,129.0,0.0,0.0
RCYCLNG,"RECYCLING, COLLECT GREEN CART",1,False,2024-09,2024,9,157.0,2.0,154.0,146.0,0.0,1.0
RCYCLNG,"RECYCLING, COLLECT GREEN CART",1,False,2024-10,2024,10,189.0,3.0,186.0,181.0,0.0,1.0
RCYCLNG,"RECYCLING, COLLECT GREEN CART",1,False,2024-11,2024,11,126.0,0.0,126.0,110.0,0.0,1.0
RCYCLNG,"RECYCLING, COLLECT GREEN CART",1,False,2024-12,2024,12,156.0,0.0,153.0,142.0,0.0,1.0
RCYCLNG,"RECYCLING, COLLECT GREEN CART",1,False,2025-01,2025,1,425.0,3.0,421.0,145.0,0.0,14.0
RCYCLNG,"RECYCLING, COLLECT GREEN CART",1,False,2025-02,2025,2,128.0,1.0,127.0,111.0,0.0,1.0
RCYCLNG,"RECYCLING, COLLECT GREEN CART",1,False,2025-03,2025,3,137.0,0.0,136.0,132.0,0.0,1.0
RCYCLNG,"RECYCLING, COLLECT GREEN CART",1,False,2025-04,2025,4,176.0,0.0,176.0,170.0,0.0,1.0
RCYCLNG,"RECYCLING, COLLECT GREEN CART",1,False,2025-05,2025,5,164.0,0.0,164.0,163.0,0.0,1.0
RCYCLNG,"RECYCLING, COLLECT GREEN CART",1,False,2025-06,2025,6,207.0,0.0,205.0,198.0,0.0,1.0
RCYCLNG,"RECYCLING, COLLECT GREEN CART",1,False,2025-07,2025,7,256.0,0.0,256.0,251.0,0.0,1.0
RCYCLNG,"RECYCLING, COLLECT GREEN CART",1,False,2025-08,2025,8,187.0,0.0,184.0,184.0,0.0,0.0
RCYCLNG,"RECYCLING, COLLECT GREEN CART",1,False,2025-09,2025,9,189.0,0.0,188.0,188.0,0.0,1.0
RCYCLNG,"RECYCLING, COLLECT GREEN CART",1,False,2025-10,2025,10,172.0,0.0,172.0,172.0,0.0,1.0
RCYCLNG,"RECYCLING, COLLECT GREEN CART",1,False,2025-11,2025,11,145.0,0.0,143.0,143.0,0.0,1.0
RCYCLNG,"RECYCLING, COLLECT GREEN CART",1,False,2025-12,2025,12,298.0,0.0,294.0,290.0,0.0,1.0
RCYCLNG,"RECYCLING, COLLECT GREEN CART",1,False,2026-01,2026,1,240.0,0.0,239.0,239.0,0.0,1.0
RCYCLNG,"RECYCLING, COLLECT GREEN CART",1,False,2026-02,2026,2,206.0,0.0,201.0,201.0,0.0,1.0
RCYCLNG,"RECYCLING, COLLECT GREEN CART",1,False,2026-03,2026,3,208.0,0.0,208.0,207.0,0.0,1.0
RCYCLNG,"RECYCLING, COLLECT GREEN CART",1,False,2026-04,2026,4,173.0,0.0,173.0,173.0,0.0,1.0
RCYCLNG,"RECYCLING, COLLECT GREEN CART",1,False,2026-05,2026,5,192.0,0.0,191.0,190.0,0.0,1.0
RCYCLNG,"RECYCLING, COLLECT GREEN CART",1,False,2026-06,2026,6,254.0,0.0,252.0,251.0,0.0,1.0
RCYCLNG,"RECYCLING, COLLECT GREEN CART",1,False,2026-07,2026,7,290.0,0.0,290.0,290.0,0.0,1.0
RCYCLNG,"RECYCLING, COLLECT GREEN CART",1,False,2026-08,2026,8,261.0,0.0,252.0,250.0,1.0,0.0
